ElNo,Date,Grade,Success,ExpR,UsualR,PredictedR,BestR,LastS,EstS,MeasuredS,BestS,NewSInc,NewS
84,May 16 2018 06:55:59,4,1,0.8959,0.7817,0.7847,0.7847,0.8423,1,0.7,0.8498,1.0089,10.9609,
84,May 23 2018 06:49:50,4,1,0.935,0.995,0.9914,0.9914,0.8498,10.9609,85.4188,50.687,20,51.687,
130,May 14 2018 06:51:34,4,1,0.9532,0.9869,0.9655,0.9655,-1,4,5.4526,4.7747,-1,9.0579,
130,May 15 2018 05:56:05,4,1,0.9889,0.995,0.9921,0.9921,4.7747,9.0579,12.8429,11.0764,2.3198,12.0379,
130,May 23 2018 06:49:37,4,1,0.9321,0.995,0.9656,0.9656,11.0764,12.0379,24.2146,18.5321,1.6731,32.8453,
130,Jun 09 2018 20:04:59,4,1,0.9453,0.995,0.9718,0.9718,18.5321,32.8453,64.6129,49.7878,2.6866,51.4586,
133,May 30 2018 09:06:17,2,0,0.6765,0.8513,0.8467,0.8467,0.7,0.7,1.6439,1.2046,1.7209,1.8368,
133,May 31 2018 12:23:33,4,1,0.9369,0.7778,0.782,0.782,1.2046,1.8368,0.7,1.23,1.0211,8.5063,
133,Jun 07 2018 08:57:50,4,1,0.9186,0.995,0.9905,0.9905,1.23,8.5063,75.7222,44.3688,20,45.3688,
161,Jun 13 2018 16:29:40,2,0,0.1958,0.995,0.8021,0.8021,1.1855,1.1855,8.7653,5.2379,2,1,
161,Jun 16 2018 09:28:50,4,1,0.7518,0.995,0.9401,0.9401,5.2379,1,4.6173,2.9102,0.8,13.5621,
170,May 31 2018 12:22:39,5,1,0.9861,0.995,0.992,0.992,28.1261,28.1261,49.2046,39.3677,1.3997,40.3677,
183,May 14 2018 07:06:21,4,1,0.8945,0.995,0.9723,0.9723,2.2209,2.2209,8.8164,5.5709,2.5084,16.465,
183,May 15 2018 05:44:19,2,0,0.994,0.995,0.9948,0.9948,5.5709,16.465,19.1224,14.4096,2,1,
183,May 16 2018 06:56:29,4,1,0.8953,0.995,0.9646,0.9646,14.4096,1,3.0737,2.054,0.8,10.1814,
183,May 19 2018 09:35:58,3,1,0.9683,0.995,0.9907,0.9907,2.054,10.1814,34.9156,23.3744,11.3799,24.3744,
183,May 25 2018 06:47:59,4,1,0.9749,0.995,0.9916,0.9916,23.3744,24.3744,73.1906,50.4122,2.1567,51.4122,
183,Jun 04 2018 07:56:14,4,1,0.9796,0.995,0.9919,0.9919,50.4122,51.4122,130.55,93.6217,1.8571,94.6217,
185,Jun 01 2018 09:12:35,2,0,0.5002,0.9142,0.9033,0.9033,0.7,0.7,4.7675,2.8744,2,1.197,
185,Jun 02 2018 11:53:36,4,1,0.9068,0.7893,0.7924,0.7924,2.8744,1.197,0.7,0.9317,0.8,11.4354,
185,Jun 09 2018 20:06:56,4,1,0.9346,0.995,0.9915,0.9915,0.9317,11.4354,90.6802,53.7161,20,54.7161,
199,May 21 2018 07:04:12,4,1,0.9932,0.995,0.9949,0.9949,36.1681,36.1681,48.2849,42.6335,1.1788,43.6335,
199,May 31 2018 12:24:13,4,1,0.9756,0.995,0.9927,0.9927,42.6335,43.6335,147.0087,98.7763,2.3169,99.7763,
206,May 14 2018 06:49:23,4,1,0.9533,0.7494,0.8245,0.8245,-1,4,0.9924,2.3958,-1,10.8734,
206,May 15 2018 05:49:59,4,1,0.9908,0.995,0.9948,0.9948,2.3958,10.8734,19.2061,15.319,6.394,16.2778,
206,May 23 2018 06:51:14,4,1,0.9493,0.995,0.9924,0.9924,15.319,16.2778,110.4114,66.5022,4.3412,67.5022,
222,May 14 2018 07:08:58,4,1,0.9942,0.995,0.995,0.995,42.6018,42.6018,49.0435,46.0378,1.0807,47.0378,
222,May 15 2018 05:53:51,4,1,0.995,0.995,0.995,0.995,46.0378,47.0378,19.9229,32.5686,0.8,33.5164,
222,May 30 2018 09:04:34,3,1,0.9535,0.995,0.9893,0.9893,32.5686,33.5164,148.3463,94.768,2.9098,95.768,
257,May 30 2018 09:07:51,2,0,0.5441,0.9016,0.8924,0.8924,0.7,0.7,3.7423,2.3264,2,3.9281,
257,May 31 2018 12:23:22,4,1,0.97,0.7652,0.8335,0.8335,2.3264,3.9281,0.7,2.2063,0.9484,5.4992,
257,Jun 07 2018 08:58:16,4,1,0.8769,0.995,0.9883,0.9883,2.2063,5.4992,61.2738,33.6839,15.2669,48.4593,
271,May 13 2018 08:27:04,4,1,0.9355,0.995,0.9824,0.9824,2.2209,2.2209,8.3294,5.479,2.467,7.624,
271,May 14 2018 06:55:35,2,0,0.9871,0.995,0.9938,0.9938,5.479,7.624,15.8074,9.7965,1.788,1,
271,May 15 2018 05:54:34,4,1,0.904,0.995,0.9695,0.9695,9.7965,1,3.2603,2.2056,0.8,9.4862,
271,May 17 2018 11:52:15,4,1,0.9753,0.3298,0.4259,0.4259,2.2056,9.4862,0.7,4.7994,2.176,7.4424,
271,May 22 2018 08:30:52,4,1,0.9335,0.995,0.9862,0.9862,4.7994,7.4424,36.892,23.1511,4.8237,24.1511,
271,May 30 2018 09:07:04,3,1,0.9656,0.995,0.9902,0.9902,23.1511,24.1511,85.9721,57.1259,2.4675,58.1259,
277,May 14 2018 06:52:31,2,0,0.7031,0.8518,0.848,0.848,0.7,0.7,1.4951,1.1251,1.6072,1,
277,May 15 2018 05:42:56,4,1,0.9046,0.7939,0.7967,0.7967,1.1251,1,0.7,0.8399,0.8,10.6288,
277,May 21 2018 07:04:58,4,1,0.9417,0.995,0.992,0.992,0.8399,10.6288,79.6174,47.4377,20,48.4377,
282,May 14 2018 07:04:38,4,1,0.9942,0.995,0.995,0.995,42.6018,42.6018,49.4464,46.2528,1.0857,47.2528,
282,May 15 2018 05:43:16,4,1,0.995,0.995,0.995,0.995,46.2528,47.2528,19.8316,32.62,0.8,33.5635,
282,May 30 2018 09:06:30,3,1,0.9536,0.995,0.9895,0.9895,32.62,33.5635,151.5626,96.5061,2.9585,97.5061,
338,May 14 2018 06:53:39,2,0,0.9405,0.8418,0.8747,0.8747,-1,4,1.8327,2.7718,-1,1,
338,May 15 2018 05:43:45,3,1,0.9046,0.7938,0.7967,0.7967,2.7718,1,0.7,0.8399,0.8,10.7018,
338,May 21 2018 07:04:39,4,1,0.9421,0.995,0.992,0.992,0.8399,10.7018,79.828,47.5841,20,48.5841,
351,May 14 2018 07:01:58,4,1,0.8947,0.995,0.9749,0.9749,2.2209,2.2209,9.7376,6.038,2.7187,16.4286,
351,May 15 2018 05:41:11,1,0,0.994,0.995,0.9948,0.9948,6.038,16.4286,19.2197,14.438,2,1,
351,May 16 2018 06:55:19,4,1,0.8951,0.995,0.9691,0.9691,14.438,1,3.5305,2.2857,0.8,9.5129,
351,May 19 2018 09:35:28,4,1,0.9661,0.5628,0.6182,0.6182,2.2857,9.5129,0.7,4.8118,2.1052,10.4583,
351,May 25 2018 06:47:26,3,1,0.9425,0.995,0.9881,0.9881,4.8118,10.4583,51.6033,32.4057,6.7347,33.4057,
351,Jun 04 2018 07:56:03,4,1,0.9688,0.995,0.9911,0.9911,32.4057,33.4057,118.4019,78.7427,2.4299,79.7427,
354,Jun 04 2018 07:57:00,2,0,0.2582,0.995,0.9764,0.9764,0.7,0.7,39.6501,21.5214,2,1,
354,Jun 06 2018 09:03:58,4,1,0.806,0.8239,0.8235,0.8235,21.5214,1,1.1101,1.1328,0.8,12.4326,
354,Jun 13 2018 16:29:53,4,1,0.9399,0.995,0.992,0.992,1.1328,12.4326,95.4622,56.7334,20,57.7334,
373,May 31 2018 12:23:15,4,1,0.9233,0.995,0.9564,0.9564,-1,4,7.1591,5.6848,-1,19.6669,
373,Jun 13 2018 16:35:37,4,1,0.9319,0.995,0.9928,0.9928,5.6848,19.6669,190.9356,111.0667,19.5374,112.0667,
377,May 14 2018 06:50:09,3,1,0.9942,0.995,0.995,0.995,42.6018,42.6018,48.7893,45.9023,1.0775,46.9023,
377,May 15 2018 05:42:02,4,1,0.995,0.995,0.995,0.995,45.9023,46.9023,20.0252,32.5597,0.8,33.5124,
377,May 30 2018 09:05:32,3,1,0.9535,0.995,0.9897,0.9897,32.5597,33.5124,154.3812,97.9862,3.0094,98.9862,
409,May 14 2018 06:52:45,4,1,0.9942,0.995,0.995,0.995,42.6018,42.6018,49.299,46.1743,1.0839,47.1743,
409,May 15 2018 05:54:11,4,1,0.995,0.995,0.995,0.995,46.1743,47.1743,20.1645,32.7607,0.8,33.72,
409,May 30 2018 09:08:04,4,1,0.9538,0.995,0.9899,0.9899,32.7607,33.72,157.7375,99.8739,3.0486,100.8739,
414,May 14 2018 06:47:51,4,1,0.9942,0.995,0.995,0.995,42.6018,42.6018,48.792,45.9038,1.0775,46.9038,
414,May 15 2018 05:46:49,4,1,0.995,0.995,0.995,0.995,45.9038,46.9038,20.1284,32.6151,0.8,33.5727,
414,May 30 2018 09:05:09,3,1,0.9536,0.995,0.9901,0.9901,32.6151,33.5727,160.1198,101.0764,3.0991,102.0764,
419,May 14 2018 07:09:33,4,1,0.9529,0.8287,0.8384,0.8384,-1,4,1.0949,2.4501,-1,3.3048,
419,May 15 2018 05:47:20,3,1,0.9704,0.8245,0.836,0.836,2.4501,3.3048,0.7,1.9151,0.8,2.858,
419,May 23 2018 06:51:00,4,1,0.7434,0.8796,0.8689,0.8689,1.9151,2.858,6.0319,4.8595,2.5375,8.6375,
419,Jun 09 2018 20:09:29,2,0,0.8072,0.89,0.8668,0.8668,4.8595,8.6375,12.9432,10.9394,2,9,
419,Jun 13 2018 16:33:41,4,1,0.9559,0.8026,0.8455,0.8455,10.9394,9,2.4175,5.489,0.8,6.7505,
