ElNo,Date,Grade,Success,ExpR,UsualR,PredictedR,BestR,LastS,EstS,MeasuredS,BestS,NewSInc,NewS
26,May 15 2018 05:41:24,4,1,0.995,0.9947,0.9947,0.9947,173.2363,174.2363,18.9286,91.3856,0.8,92.3371,
27,May 14 2018 06:55:09,2,0,0.0981,0.995,0.9658,0.9658,0.8769,0.8769,58.5067,31.684,2,1,
27,May 15 2018 05:43:55,4,1,0.9047,0.7694,0.7737,0.7737,31.684,1,0.7,0.8399,0.8,10.1289,
27,May 21 2018 07:07:44,4,1,0.9389,0.995,0.991,0.991,0.8399,10.1289,70.2377,42.1971,20,43.1971,
28,May 06 2018 12:59:22,4,1,0.5825,0.9926,0.6737,0.6737,2.2574,2.2574,3.0879,3.6949,1.6368,11.7025,
28,May 14 2018 07:07:55,2,0,0.9326,0.995,0.9464,0.9464,3.6949,11.7025,14.8421,12.7155,2,1.4892,
28,May 15 2018 05:46:32,2,0,0.9354,0.4939,0.7316,0.7316,12.7155,1.4892,0.7,1.0518,0.5,1,
28,May 16 2018 06:56:55,4,1,0.8954,0.6391,0.7587,0.7587,1.0518,1,0.7,0.8503,0.8084,4.8678,
28,May 19 2018 09:36:06,4,1,0.9349,0.995,0.9567,0.9567,0.8503,4.8678,7.4122,6.2247,7.3208,11.2027,
28,May 25 2018 06:47:50,4,1,0.9462,0.995,0.9639,0.9639,6.2247,11.2027,16.8718,14.226,2.2854,15.0516,
28,Jun 04 2018 07:57:07,4,1,0.9321,0.6267,0.7912,0.7912,14.226,15.0516,4.5191,9.4341,0.8,22.8814,
29,May 08 2018 07:02:25,4,1,0.9711,0.995,0.9938,0.9938,47.8656,47.8656,226.8887,143.3884,2.9956,144.3884,
29,May 14 2018 06:54:32,4,1,0.995,0.9947,0.9948,0.9948,143.3884,144.3884,121.4148,132.1319,0.9215,133.1319,
29,May 15 2018 05:40:33,4,1,0.995,0.9947,0.9947,0.9947,132.1319,133.1319,18.9061,72.1995,0.8,73.1481,
29,Jun 06 2018 09:04:26,4,1,0.9686,0.995,0.9937,0.9937,72.1995,73.1481,370.6634,231.8967,3.2119,232.8967,
34,May 14 2018 07:00:09,2,0,0.1012,0.995,0.9664,0.9664,0.8092,0.8092,54.2877,29.3971,2,1.8174,
34,May 15 2018 05:57:26,4,1,0.9461,0.7728,0.7783,0.7783,29.3971,1.8174,0.7,1.221,0.8,6.1638,
34,May 21 2018 07:06:53,3,1,0.9018,0.995,0.9884,0.9884,1.221,6.1638,54.6566,32.0351,20,36.0605,
35,May 07 2018 07:22:34,1,0,0.2025,0.995,0.9701,0.9701,0.7,0.7,36.8534,20.0264,2,1,
35,May 08 2018 07:02:16,3,1,0.9013,0.789,0.7925,0.7925,20.0264,1,0.7,0.8399,0.8,10.3202,
