The Metric: 0.0000%

Metric / Retrievability,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,
SuperMemo 2 (own),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Metric
SuperMemo 2 (sm17),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,_,0.00
Leitner with EF=2 and Int1=1 (own),0.048,-0.420,-0.258,-0.477,0.385,0.297,0.100,-0.182,-0.053,0.068,-0.037,Metric
Leitner with EF=2 and Int1=1 (sm17),0.000,0.000,0.000,0.000,-0.112,0.000,0.255,0.323,0.089,0.167,-0.180,_,17.95
SM17 Self (own),0.000,0.000,0.000,0.000,-0.574,0.000,-0.006,0.203,0.071,0.450,0.094,Metric
SM17 Self (sm17),0.000,0.000,0.000,0.000,-0.574,0.000,-0.006,0.203,0.071,0.450,0.094,_,18.23
Pimsleur (own),-0.583,-0.920,-0.750,-0.659,-0.558,-0.490,-0.383,-0.273,-0.178,-0.100,-0.022,Metric
Pimsleur (sm17),0.000,0.000,0.000,0.000,-0.211,0.000,-0.591,-0.500,-0.580,-0.167,-0.371,_,44.42
